Year,Month,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp
1983,5,2.556,345.96,1638.59,303.677,191.324,350.113,13.661.024,863,109
1983,6,2.167,345.52,1633.71,303.746,192.057,351.848,13.661.208,794,118
1983,7,1.741,344.15,1633.22,303.795,192.818,353.725,1.366.285,731,137
1983,8,1.13,342.25,1631.35,303.839,193.602,355.633,13.664.202,673,176
1983,9,428,340.17,1648.4,303.901,194.392,357.465,13.662.335,619,149
1983,10,2,340.3,1663.79,303.97,195.171,359.174,13.660.589,569,93
1983,11,-176,341.53,1658.23,304.032,195.921,360.758,13.661.072,524,232
1983,12,-176,343.07,1654.31,304.082,196.609,362.174,13.660.607,486,78
1984,1,-339,344.05,1658.98,304.13,197.219,363.359,13.654.261,451,89
1984,2,-565,344.77,1656.48,304.194,197.759,364.296,13.656.618,416,13
1984,3,131,345.46,1655.77,304.285,198.249,365.044,13.661.697,383,49
1984,4,331,346.77,1657.68,304.389,198.723,365.692,1.365.566,352,-19
1984,5,121,347.55,1649.33,304.489,199.233,366.317,13.657.783,324,65
1984,6,-142,346.98,1634.13,304.593,199.858,367.029,13.660.956,302,-16
1984,7,-138,345.55,1629.89,304.722,200.671,367.893,13.661.145,282,-24
1984,8,-179,343.2,1643.67,304.871,201.71,368.843,13.659.781,26,34
1984,9,-82,341.35,1663.6,305.021,202.972,369.8,13.658.669,239,25
1984,10,16,341.68,1674.65,305.158,204.407,370.782,13.657.869,22,-35
1984,11,-351,343.06,1677.1,305.263,205.893,371.77,13.656.802,202,-123
1984,12,-611,344.54,1672.15,305.313,207.308,372.701,13.657.617,188,-282
1985,1,-561,345.25,1663.42,305.301,208.537,373.623,13.656.082,164,-1
1985,2,-602,346.06,1666.21,305.243,209.543,374.681,13.657.085,16,-155
1985,3,-737,347.66,1678.34,305.165,210.368,376.004,1.365.657,141,-32
1985,4,-484,348.2,1675.24,305.093,211.111,377.635,1.365.512,138,-42
1985,5,-731,348.92,1666.83,305.045,211.823,379.539,13.656.366,128,1
1985,6,-86,348.4,1659.4,305.027,212.512,381.642,13.656.964,126,-49
1985,7,-156,346.66,1654.25,305.049,213.165,383.905,13.656.509,121,-42
1985,8,-392,344.85,1654.41,305.126,213.803,386.223,13.657.499,116,13
1985,9,-541,343.2,1668.31,305.25,214.501,388.5,13.656.653,102,-35
1985,10,-0.14,343.08,1681.56,305.395,215.327,390.676,13.655.269,101,-8
1985,11,-0.05,344.4,1680.68,305.53,216.282,392.714,13.656.289,97,-93
1985,12,-293,345.82,1677.99,305.653,217.326,394.539,13.656.794,122,-2
1986,1,-307,346.54,1675.82,305.775,218.382,396.082,13.656.746,146,121
1986,2,-191,347.13,1666.83,305.911,219.379,397.345,13.655.475,158,65
1986,3,33,348.05,1672.87,306.055,220.315,398.41,13.656.797,144,49
1986,4,-169,349.77,1688.51,306.201,221.245,399.398,13.656.531,147,45
1986,5,305,350.53,1686.02,306.351,222.197,400.393,13.657.275,14,23
1986,6,311,349.9,1685.06,306.512,223.189,401.487,13.656.615,13,55
1986,7,384,348.11,1682.79,306.672,224.236,402.711,13.656.509,128,4
1986,8,804,346.09,1670.57,306.8,225.302,404.06,13.655.989,14,-1
1986,9,1.166,345.01,1680.44,306.867,226.343,405.584,13.656.034,126,16
1986,10,996,344.47,1691.19,306.86,227.325,407.328,13.656.465,126,43
1986,11,872,345.86,1692.49,306.779,228.224,409.211,13.657.097,123,-33
1986,12,1.183,347.15,1698.08,306.612,229.058,411.112,13.656.717,12,22
1987,1,1.237,348.38,1692.74,306.368,229.846,412.92,13.656.674,118,116
1987,2,1.185,348.7,1690.41,306.083,230.592,414.572,1.365.659,111,266
1987,3,1.724,349.72,1695.08,305.812,231.325,416.063,13.656.693,109,21
1987,4,1.865,351.32,1696.18,305.433,232.098,417.549,13.656.385,104,84
1987,5,2.122,352.14,1694.75,305.542,232.939,418.723,13.657.561,101,145
